site,month,hour,kw_per_kw
south,7,15,0.4112
south,7,16,0.3166
south,7,17,0.2133
south,7,18,0.1025
south,7,19,0.0257
south,7,20,0.0013
south,7,21,0.0
south,7,22,0.0
south,7,23,0.0
south,8,0,0.0
south,8,1,0.0
south,8,2,0.0
south,8,3,0.0
south,8,4,0.0
south,8,5,0.0001
south,8,6,0.0163
south,8,7,0.0972
south,8,8,0.2148
south,8,9,0.3166
south,8,10,0.4073
south,8,11,0.4847
south,8,12,0.5053
south,8,13,0.4907
south,8,14,0.4411
south,8,15,0.3813
south,8,16,0.2771
south,8,17,0.1827
south,8,18,0.0725
south,8,19,0.0096
south,8,20,0.0
south,8,21,0.0
south,8,22,0.0
south,8,23,0.0
south,9,0,0.0
south,9,1,0.0
south,9,2,0.0
south,9,3,0.0
south,9,4,0.0
south,9,5,0.0
south,9,6,0.0047
south,9,7,0.064
south,9,8,0.1518
south,9,9,0.2672
south,9,10,0.3469
south,9,11,0.4052
south,9,12,0.431
south,9,13,0.3973
south,9,14,0.3497
south,9,15,0.2753
south,9,16,0.1978
south,9,17,0.1056
south,9,18,0.0224
south,9,19,0.0002
south,9,20,0.0
south,9,21,0.0
south,9,22,0.0
south,9,23,0.0
south,10,0,0.0
south,10,1,0.0
south,10,2,0.0
south,10,3,0.0
south,10,4,0.0
south,10,5,0.0
south,10,6,0.0
south,10,7,0.0365
south,10,8,0.1365
south,10,9,0.2318
south,10,10,0.3275
south,10,11,0.3773
south,10,12,0.3875
south,10,13,0.3756
south,10,14,0.3234
south,10,15,0.2572
south,10,16,0.1576
south,10,17,0.0511
south,10,18,0.0006
south,10,19,0.0
south,10,20,0.0
south,10,21,0.0
south,10,22,0.0
south,10,23,0.0
south,11,0,0.0
south,11,1,0.0
south,11,2,0.0
south,11,3,0.0
south,11,4,0.0
south,11,5,0.0
south,11,6,0.0
south,11,7,0.0056
south,11,8,0.0914
south,11,9,0.189
south,11,10,0.2891
south,11,11,0.3215
south,11,12,0.3603
south,11,13,0.3297
south,11,14,0.3006
south,11,15,0.2128
south,11,16,0.1044
south,11,17,0.0075
south,11,18,0.0
south,11,19,0.0
south,11,20,0.0
south,11,21,0.0
south,11,22,0.0
south,11,23,0.0
south,12,0,0.0
south,12,1,0.0
south,12,2,0.0
south,12,3,0.0
south,12,4,0.0
south,12,5,0.0
south,12,6,0.0
south,12,7,0.0
south,12,8,0.0575
south,12,9,0.2151
south,12,10,0.3396
south,12,11,0.4338
south,12,12,0.4697
south,12,13,0.4321
south,12,14,0.3548
south,12,15,0.245
south,12,16,0.1127
south,12,17,0.002
south,12,18,0.0
south,12,19,0.0
south,12,20,0.0
south,12,21,0.0
south,12,22,0.0
south,12,23,0.0
